"image_id","image_path","question","answer"
"91NIjXLrK4L","/images/small/87/8789ae7a.jpg","What is the brand of this handbag?","Flavia"
"91NIjXLrK4L","/images/small/87/8789ae7a.jpg","What color is the handbag?","Yellow"
"91NIjXLrK4L","/images/small/87/8789ae7a.jpg","What type of bag is this?","HANDBAG"
"61LlgjTJYrL","/images/small/06/06721f0c.jpg","What is the color of the glass?","Clear"
"61LlgjTJYrL","/images/small/06/06721f0c.jpg","What is the product type?","DRINKING_CUP"
"61LlgjTJYrL","/images/small/06/06721f0c.jpg","What brand is this?","Amazon"
"71FgzMJlCTL","/images/small/70/70cb7b86.jpg","What is the dominant color of these gloves?","Amarillo"
"71FgzMJlCTL","/images/small/70/70cb7b86.jpg","What is the product type?","MECHANICAL_COMPONENTS"
"71FgzMJlCTL","/images/small/70/70cb7b86.jpg","What brand are these gloves?","AmazonBasics"
"81r0l5ZUjIL","/images/small/e1/e1c5325c.jpg","What is the shape of the central element?","Heart"
"81r0l5ZUjIL","/images/small/e1/e1c5325c.jpg","What is the main color of the case?","Multicolor"
"81r0l5ZUjIL","/images/small/e1/e1c5325c.jpg","What material is the phone case made of?","Plastic"
"81ahujgo5SL","/images/small/56/5698ec8c.jpg","What is the product type?","CELLULAR_PHONE_CASE"
"81ahujgo5SL","/images/small/56/5698ec8c.jpg","What brand is this case?","Amazon"
"81ahujgo5SL","/images/small/56/5698ec8c.jpg","What color is the background of the design?","Others"
"71QBBamXamL","/images/small/6f/6f992c92.jpg","What is the color of the organizers?","Black"
"71QBBamXamL","/images/small/6f/6f992c92.jpg","What is the product type?","OFFICE_PRODUCTS"
"71QBBamXamL","/images/small/6f/6f992c92.jpg","How many organizers are in the pack?","2-Pack"
"81K-EqW-bHL","/images/small/e5/e5604a38.jpg","What phone model is this case for?","Nokia"
"81K-EqW-bHL","/images/small/e5/e5604a38.jpg","What is the product type?","CELLULAR_PHONE_CASE"
"81K-EqW-bHL","/images/small/e5/e5604a38.jpg","What brand is this case?","Amazon"
"7146IGEhIPL","/images/small/23/23e57d72.jpg","What is the heel type?","flats"
"7146IGEhIPL","/images/small/23/23e57d72.jpg","What is the closure type?","Slip On"
"7146IGEhIPL","/images/small/23/23e57d72.jpg","What is the outer material?","PU"
"51yquhtWyDL","/images/small/1a/1a25d32f.jpg","What is the product type?","SANDAL"
"51yquhtWyDL","/images/small/1a/1a25d32f.jpg","What color are the sandals?","Rosa"
"51yquhtWyDL","/images/small/1a/1a25d32f.jpg","What is the style of the sandals?","Sandalias"
"81AEfE-uR4L","/images/small/23/23b41c78.jpg","What is the brand of this balance ball?","AmazonBasics"
"81AEfE-uR4L","/images/small/23/23b41c78.jpg","What color is the exercise ball?","Blue"
"81AEfE-uR4L","/images/small/23/23b41c78.jpg","What type of product is this?","SPORTING_GOODS"
"71bR+xMSoRL","/images/small/f4/f4e6c3a4.jpg","What is the product type?","CELLULAR_PHONE_CASE"
"71bR+xMSoRL","/images/small/f4/f4e6c3a4.jpg","What brand is this case?","Amazon"
"71bR+xMSoRL","/images/small/f4/f4e6c3a4.jpg","What color is the background of the case?","Others"
"31lJBp1dALL","/images/small/b5/b5319e00.jpg","What is the product type?","GROCERY"
"31lJBp1dALL","/images/small/b5/b5319e00.jpg","What is the brand?","Fresh"
"31lJBp1dALL","/images/small/b5/b5319e00.jpg","Is there an image?","No"
"71IblnhDUkL","/images/small/a8/a88f28b3.jpg","What is the pattern on the shoes?","Leopard"
"71IblnhDUkL","/images/small/a8/a88f28b3.jpg","What is the toe shape of the pump?","Round"
"71IblnhDUkL","/images/small/a8/a88f28b3.jpg","What type of shoe is this?","Pumps"
"71LLTJ74OYL","/images/small/5b/5b2c5679.jpg","What is the product type?","SHOES"
"71LLTJ74OYL","/images/small/5b/5b2c5679.jpg","What style are these?","Botinas"
"71LLTJ74OYL","/images/small/5b/5b2c5679.jpg","What brand are these boots?","find."
"8171UNjIZVL","/images/small/de/def1cf00.jpg","What is the brand of this strainer?","AmazonCommercial"
"8171UNjIZVL","/images/small/de/def1cf00.jpg","What material are these strainers made of?","Stainless"
"8171UNjIZVL","/images/small/de/def1cf00.jpg","What is the product type?","BISS"
"51hY+OIBWLL","/images/small/21/21073b14.jpg","What is the brand of this supplement?","Solimo"
"51hY+OIBWLL","/images/small/21/21073b14.jpg","What is the color of the bottle?","white"
"51hY+OIBWLL","/images/small/21/21073b14.jpg","What form is this supplement in?","capsules"
"51h5BWxdHCL","/images/small/67/6754e285.jpg","What is the color of the stones?","Dark Green"
"51h5BWxdHCL","/images/small/67/6754e285.jpg","What is the style of this jewelry set?","May"
"51h5BWxdHCL","/images/small/67/6754e285.jpg","What type of product is this?","FASHIONNECKLACEBRACELETANKLET"
"81DCzznMb3L","/images/small/bd/bd08fa47.jpg","What is the color of the phone case?","Multicolor"
"81DCzznMb3L","/images/small/bd/bd08fa47.jpg","What material is the phone case made of?","Silicon"
"81DCzznMb3L","/images/small/bd/bd08fa47.jpg","What type of product is this?","CELLULAR_PHONE_CASE"
"7117q42QLQL","/images/small/a8/a856c549.jpg","What is the phone case material?","Silicon"
"7117q42QLQL","/images/small/a8/a856c549.jpg","What brand is this phone case?","Amazon"
"7117q42QLQL","/images/small/a8/a856c549.jpg","What type of product is this?","CELLULAR_PHONE_CASE"
"51KyCGTBD8L","/images/small/fe/feb3c33f.jpg","What is the product type?","SKIN_MOISTURIZER"
"51KyCGTBD8L","/images/small/fe/feb3c33f.jpg","What is the style of this product?","Anti-aging"
"51KyCGTBD8L","/images/small/fe/feb3c33f.jpg","What is the brand of this product?","Belei"
"71ZFmQw1maL","/images/small/f7/f715680d.jpg","What is the color of the shoes?","Black"
"71ZFmQw1maL","/images/small/f7/f715680d.jpg","What is the style of these shoes?","Ballerinas"
"71ZFmQw1maL","/images/small/f7/f715680d.jpg","What type of product is this?","SHOES"
"51CPn2YaQcL","/images/small/ce/ce8f7537.jpg","What is the product type?","HOME"
"51CPn2YaQcL","/images/small/ce/ce8f7537.jpg","What brand is this?","UMI"
"51CPn2YaQcL","/images/small/ce/ce8f7537.jpg","What category is this item in?","HOME"
"81jlXdyeqAL","/images/small/73/7362df83.jpg","What is the size of the eggs?","Extra Large"
"81jlXdyeqAL","/images/small/73/7362df83.jpg","What color are the eggs?","Brown"
"81jlXdyeqAL","/images/small/73/7362df83.jpg","What grade are the eggs?","A"
"51nIO4riIsL","/images/small/d5/d54fd6e5.jpg","How many dividers are in a pack?","6"
"51nIO4riIsL","/images/small/d5/d54fd6e5.jpg","What is the number of tabs?","5"
"51nIO4riIsL","/images/small/d5/d54fd6e5.jpg","What is the product type?","OFFICE_PRODUCTS"
"71xXRP4EH8L","/images/small/e2/e2301923.jpg","What is the brand of this vinaigrette?","Whole Foods Market"
"71xXRP4EH8L","/images/small/e2/e2301923.jpg","What type of product is this?","GROCERY"
"71xXRP4EH8L","/images/small/e2/e2301923.jpg","What is the product's category?","Vinaigrette"
"71hnRGHPSTL","/images/small/13/13eb83e6.jpg","What color are the gloves?","Black"
"71hnRGHPSTL","/images/small/13/13eb83e6.jpg","What brand are these gloves?","AmazonCommercial"
"71hnRGHPSTL","/images/small/13/13eb83e6.jpg","What is the unit count of gloves in the box shown?","100"
"51OSS1JuT6L","/images/small/48/48b6791e.jpg","What is the product type?","HOME"
"51OSS1JuT6L","/images/small/48/48b6791e.jpg","What brand are these boxes?","UMI"
"51OSS1JuT6L","/images/small/48/48b6791e.jpg","What are these made of?","cardboard"
"7177AeD4qVL","/images/small/e2/e2198a9f.jpg","What is the product type?","SOFA"
"7177AeD4qVL","/images/small/e2/e2198a9f.jpg","What is the color of the sofa?","Slate Brown"
"7177AeD4qVL","/images/small/e2/e2198a9f.jpg","What is the material of the legs?","Metal"
"71eLaEr5-EL","/images/small/38/38ec6d51.jpg","What is the color of the sneaker?","Light Gray"
"71eLaEr5-EL","/images/small/38/38ec6d51.jpg","What is the style of this shoe?","Sneaker"
"71eLaEr5-EL","/images/small/38/38ec6d51.jpg","What type of product is this?","SHOES"
"71zmnZlYqNL","/images/small/0b/0b0d39b3.jpg","What phone model is this case for?","iPhone X"
"71zmnZlYqNL","/images/small/0b/0b0d39b3.jpg","What type of product is this?","CELLULAR_PHONE_CASE"
"71zmnZlYqNL","/images/small/0b/0b0d39b3.jpg","What brand is this case?","Amazon"
"71ttq-byuXL","/images/small/3f/3f221c7c.jpg","What is the color of the foam roller?","Blue"
"71ttq-byuXL","/images/small/3f/3f221c7c.jpg","What is the shape of the foam roller?","Round"
"71ttq-byuXL","/images/small/3f/3f221c7c.jpg","What is the product type?","MUSCLE_ROLLER"
"81SnpjStn3L","/images/small/d8/d8aff724.jpg","What is the case's material?","Silicon"
"81SnpjStn3L","/images/small/d8/d8aff724.jpg","What type of product is this?","CELLULAR_PHONE_CASE"
"81SnpjStn3L","/images/small/d8/d8aff724.jpg","What is the case's color?","Multicolor"
"71jG+h+RtxL","/images/small/6a/6a68bbab.jpg","What is the style of this kitchen furniture?","KITCHEN CART"
"71jG+h+RtxL","/images/small/6a/6a68bbab.jpg","What is the material of this cart?","木头"
"71jG+h+RtxL","/images/small/6a/6a68bbab.jpg","What is the color of this cart?","إسبرسو"
"61OnkGVhMWL","/images/small/35/3595924e.jpg","What is the brand?","AmazonBasics"
"61OnkGVhMWL","/images/small/35/3595924e.jpg","What is the product type?","MEASURING_CUP"
"61OnkGVhMWL","/images/small/35/3595924e.jpg","What color is the cup?","Transparant"
"6189ZjmJskL","/images/small/c1/c1e910c3.jpg","What is the material of the phone case?","Plastic"
"6189ZjmJskL","/images/small/c1/c1e910c3.jpg","What is the color of the phone case?","multi-colored"
"6189ZjmJskL","/images/small/c1/c1e910c3.jpg","What type of product is this?","CELLULAR_PHONE_CASE"
"A1LHLpd6uCL","/images/small/8b/8b5749e1.jpg","What is the color of this loveseat?","Pewter"
"A1LHLpd6uCL","/images/small/8b/8b5749e1.jpg","What is the product type?","HOME_FURNITURE_AND_DECOR"
"A1LHLpd6uCL","/images/small/8b/8b5749e1.jpg","What brand is this loveseat?","Stone & Beam"
"71dWnkH3QrL","/images/small/78/78443eec.jpg","What is the product type?","SANDAL"
